Number,Company name,Primary UK SIC (2007) code,"Turnover
th GBP 2012","Turnover
th GBP 2013","Turnover
th GBP 2014","Turnover
th GBP 2015","Turnover
th GBP 2016","Turnover
th GBP 2017","Turnover
th GBP 2018","Turnover
th GBP 2019","Turnover
th GBP 2020","Turnover
th GBP 2021"
1,SHELL PLC,6100,"296,340,000","277,485,000","270,060,000","179,476,000","194,548,000","230,639,000","310,781,000","265,380,000","134,081,000","201,431,000"
2,BP P.L.C.,6100,"231,055,000","228,905,000","226,748,000","150,982,000","151,245,000","180,877,000","238,039,000","213,006,000","134,304,000","121,302,000"
3,TESCO PLC,47110,"64,539,000","64,826,000","63,557,000","62,284,000","54,433,000","55,917,000","57,491,000","63,911,000","64,760,000","57,887,000"
4,GOOGLE IRELAND LIMITED,62090,"12,979,830","14,238,091","14,210,414","16,606,218","22,524,358","28,545,509","34,333,936","39,113,082","44,290,902","54,660,607"
5,UNILEVER PLC,46900,"41,625,000","41,428,000","37,588,000","39,211,000","45,096,000","47,751,000","45,769,000","43,987,000","45,395,000","44,078,000"
6,ACCENTURE PUBLIC LIMITED COMPANY,70100,"17,256,303","23,973,836","22,313,924","22,348,649","24,403,489","29,872,887","33,916,941","32,778,866","35,008,295","40,681,525"
7,GLENCORE ENERGY UK LTD.,66120,"45,291,822","43,232,650","40,084,760","29,143,304","41,341,634","58,821,483","63,875,451","54,208,695","28,265,176","48,498,245"
8,RIO TINTO PLC,8990,"31,355,000","30,895,000","30,568,000","23,592,000","27,380,000","29,604,000","31,757,000","32,533,000","32,651,000","46,908,000"
9,TESCO STORES LIMITED,47110,"41,981,000","42,662,000","42,547,000","42,278,000","39,843,000","40,134,000","41,367,000","42,219,000","42,951,000","42,451,000"
10,META PLATFORMS IRELAND LIMITED,62090,"1,496,114","2,493,269","3,762,601","5,803,334","10,800,107","16,895,952","22,990,941","29,388,399","37,115,505","44,115,879"
11,ASTRAZENECA PLC,21100,"17,209,000","15,523,000","16,735,000","16,736,000","18,643,000","16,614,000","17,312,000","18,378,000","19,481,000","27,643,000"
12,IMPERIAL BRANDS PLC,12000,"14,672,000","14,588,000","26,625,000","25,289,000","27,634,000","30,247,000","30,524,000","31,594,000","32,562,000","32,791,000"
13,J SAINSBURY PLC,47110,"22,294,000","23,303,000","23,949,000","23,775,000","23,506,000","26,224,000","28,456,000","29,007,000","28,993,000","29,048,000"
14,GSK PLC,21100,"26,431,000","26,505,000","23,006,000","23,923,000","27,889,000","30,186,000","30,821,000","33,754,000","34,099,000","34,114,000"
15,ANGLO AMERICAN PLC,8990,"17,694,000","17,715,000","17,362,000","13,856,000","17,327,000","19,408,000","21,638,000","22,513,000","22,617,000","30,699,000"
16,BRITISH AMERICAN TOBACCO P.L.C.,12000,"15,190,000","15,260,000","13,971,000","13,104,000","14,751,000","20,292,000","24,492,000","25,877,000","25,776,000","25,684,000"
17,CRH PUBLIC LIMITED COMPANY,70100,"15,601,194","15,099,923","14,711,089","17,363,806","23,224,123","22,385,615","24,161,772","21,514,244","20,629,337","22,958,048"
18,COMPASS GROUP PLC,56210,"16,905,000","17,557,000","17,058,000","17,590,000","19,605,000","22,568,000","22,964,000","24,878,000","19,940,000","17,908,000"
