Number ,Company name,Primary UK SIC (2007) code,"Turnover
th GBP 2012","Turnover
th GBP 2013","Turnover
th GBP 2014","Turnover
th GBP 2015","Turnover
th GBP 2016","Turnover
th GBP 2017","Turnover
th GBP 2018","Turnover
th GBP 2019","Turnover
th GBP 2020","Turnover
th GBP 2021"
1,BRENTFORD FC LIMITED,93120,"2,819","3,901","3,286","9,955","10,623","12,696","12,742","15,250","13,907","15,344"
2,PENASUL UK LIMITED,10120,"13,119","8,636","5,017","1,372","1,304","1,055","2,282","5,889","8,473","96,008"
3,LIME MANAGEMENT LIMITED,52230,"90,755","107,081","110,861","117,281","108,793","104,045","102,401","112,078","37,219","12,233"
4,SWISSLOG (UK) LTD.,43999,"23,228","24,752","53,580","31,742","19,235","22,435","34,939","59,808","44,850","38,590"
5,CRANE WORLDWIDE UK LIMITED,96090,"23,957","24,370","19,741","17,379","22,174","34,872","47,223","33,945","36,917","75,395"
6,SEAPORT FINANCIAL EUROPE LIMITED,82990,"6,178","8,491","15,167","17,382","14,968","15,783","13,362","9,564","19,588","14,618"
7,THE SEAPORT GROUP EUROPE LLP,64929,"5,828","7,716","14,525","16,958","14,743","15,446","13,149","9,264","19,470","14,434"
8,MAPCARGO INTERNATIONAL LIMITED,52290,"16,978","16,390","18,824","19,705","19,180","21,541","26,342",n.a.,"31,476","31,824"
9,M R STEPHENSON LIMITED,41201,"30,113","18,534","24,566","29,291","39,716","50,029","52,183","69,821","42,769","39,174"
10,LIQUIDNET EUROPE LIMITED,64999,"20,921","33,476","41,512","48,647","69,485","96,142","107,734","99,782",109,88
11,WILLIAM MORTON LIMITED,46342,"47,257","51,152","73,613","69,703","68,252","67,217","68,448","70,015","43,572","34,361"
12,NAVALMAR (UK) LIMITED,50200,"45,747","35,545","37,031","22,487","24,140","27,972","30,078","10,997","19,318","69,682"
13,VALMY SAS LTD,46900,,"1,120","1,194","1,078",834,n.a.,927,494,"29,745","69,209"
14,R.M. EASDALE & COMPANY LIMITED,24450,"57,768","51,638","50,185","44,499","43,823","54,271","51,806","45,973","40,729","68,940"
15,NDK EUROPE LIMITED,46520,"1,248","5,442","8,815","30,943","35,862","39,032","37,882","39,177","39,815","34,369"
16,WEMBLEY NATIONAL STADIUM LIMITED,93110,"89,821","58,108","97,622","93,590","104,395","104,126","90,450","101,682","35,519","18,656"
17,AVK/SEG (UK) LIMITED,82990,"20,432","31,638","28,837","24,189","29,325","34,188","39,764","36,030","58,746","39,375"
18,FESTIVAL REPUBLIC LIMITED,90020,"41,429","42,530","41,952","41,105","44,294","46,034","55,218","56,422",733,"66,488"
19,A&M COMMERCIALS LIMITED,45190,"17,503","19,997","19,397","17,925","17,756","45,003","37,322","30,115","40,495","63,212"
20,MAYLIM LIMITED,42990,,"12,468","14,677","26,552","26,805","39,464","35,807","45,839","30,002","60,916"
21,PMJ FOODS UK LTD.,10120,,"27,122","37,286","36,509","37,996","44,723","50,270","40,701","30,537","38,958"
22,POWERTEAM ELECTRICAL SERVICES (UK) LIMITED,43210,"44,611","56,701","56,744","31,833","26,365","29,061","35,765","32,770","39,378","59,862"
23,SUPERGLASS INSULATION LIMITED,23140,"33,402","25,195","23,429","20,831","26,685","23,604","32,866","31,264","41,860","59,807"
24,CYCLOPS ELECTRONICS LIMITED,46520,"9,076","8,353","10,224","11,208","11,184","12,931","17,209","18,326","11,531","11,673"
25,RADNOR HILLS MINERAL WATER COMPANY LTD,11070,"18,035","20,050","25,772","28,958","33,824","40,209","42,052","47,985","42,983","41,427"
26,BLACKWOOD ENGINEERING LIMITED,25610,"26,131","25,242","27,028","31,761","28,292","33,980","37,281","46,068","53,656","28,941"
27,DCC ENERGY LTD,46711,"267,102","276,590","254,121","190,294","146,186","150,240","169,674","64,387","53,239","41,920"
28,KINGERLEE LIMITED,41201,"43,085","29,739","28,887","32,289","33,543","31,719","36,102","50,491","36,496","41,162"
29,MARBLE BAR ASSET MANAGEMENT LLP,66190,"9,695","10,941","8,421","11,391","4,921","11,988","11,248","13,799","17,700","17,182"
30,OLYMPIC OILS LIMITED,10410,"43,293","41,889","37,394","34,807","32,834","37,482","38,682","38,236","35,454","38,777"
